epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8645,0.87696,2.81089,1.19482,0.69602,0.86227,0.79541,0.65963,0.65178,1.33859,1.09064,0.000406746,0.000406746,0.000406746
2,31.8942,0.5749,1.18023,1.04004,0.58852,0.72002,0.67113,0.55501,0.64271,1.75585,1.1995,0.00079624,0.00079624,0.00079624
3,44.9069,0.56183,0.9796,1.03016,0.64238,0.88579,0.7803,0.5588,0.64927,1.34516,1.14481,0.00115823,0.00115823,0.00115823
4,58.3859,0.6004,0.93412,1.06414,0.76093,0.88782,0.79928,0.70229,0.49995,0.84118,0.99586,0.00112625,0.00112625,0.00112625
5,72.0241,0.51818,0.7933,0.99052,0.7048,0.94317,0.90877,0.81625,0.42808,0.77646,1.00664,0.001085,0.001085,0.001085
6,85.4444,0.5299,0.769,1.00461,0.83837,0.9547,0.90472,0.76773,0.55879,0.62014,1.07047,0.00104375,0.00104375,0.00104375
7,98.8567,0.48383,0.71374,0.98692,0.74966,0.96114,0.85797,0.79615,0.349,0.59206,0.90814,0.0010025,0.0010025,0.0010025
8,111.897,0.46375,0.67683,0.96503,0.81331,0.96708,0.92833,0.84396,0.37904,0.53151,0.92397,0.00096125,0.00096125,0.00096125
9,125.854,0.46539,0.66895,0.97516,0.84401,0.91511,0.93905,0.81938,0.39614,0.73191,0.93796,0.00092,0.00092,0.00092
10,138.971,0.42481,0.62687,0.96002,0.91083,0.86696,0.93455,0.86256,0.33833,0.64087,0.91709,0.00087875,0.00087875,0.00087875
11,152.474,0.41695,0.61368,0.92925,0.80511,0.98148,0.94103,0.88596,0.34105,0.50598,0.90353,0.0008375,0.0008375,0.0008375
12,165.55,0.40243,0.57982,0.94177,0.87396,0.93998,0.96238,0.89655,0.32884,0.47909,0.89763,0.00079625,0.00079625,0.00079625
13,179.166,0.39202,0.58775,0.92708,0.91848,0.97895,0.96986,0.9085,0.30908,0.39344,0.88289,0.000755,0.000755,0.000755
14,192.211,0.40247,0.55981,0.93702,0.96822,0.95403,0.9837,0.9336,0.29556,0.5627,0.86931,0.00071375,0.00071375,0.00071375
15,205.592,0.39752,0.55106,0.93824,0.89103,0.98118,0.97029,0.91941,0.28836,0.32661,0.86427,0.0006725,0.0006725,0.0006725
16,218.819,0.38419,0.55637,0.92771,0.93636,0.98148,0.96793,0.9153,0.2723,0.3522,0.8597,0.00063125,0.00063125,0.00063125
17,231.898,0.37786,0.51001,0.93283,0.92367,0.98515,0.98071,0.93097,0.27915,0.38228,0.86168,0.00059,0.00059,0.00059
18,244.907,0.36611,0.46972,0.92011,0.97783,0.98148,0.99194,0.94909,0.26849,0.2548,0.85368,0.00054875,0.00054875,0.00054875
19,258.43,0.36875,0.492,0.9222,0.86192,0.97222,0.95489,0.91111,0.25609,0.3864,0.84482,0.0005075,0.0005075,0.0005075
20,271.817,0.34718,0.47866,0.91339,0.97418,0.96004,0.98069,0.93022,0.29424,0.32026,0.86268,0.00046625,0.00046625,0.00046625
21,288.066,0.27681,0.34206,0.87664,0.9671,0.98148,0.98285,0.9437,0.25075,0.23196,0.84036,0.000425,0.000425,0.000425
22,301.973,0.26548,0.33938,0.87393,0.97151,0.96058,0.98513,0.9261,0.29586,0.26317,0.87555,0.00038375,0.00038375,0.00038375
23,315.256,0.26428,0.34232,0.87225,0.97993,0.98148,0.98933,0.95239,0.26485,0.23104,0.84923,0.0003425,0.0003425,0.0003425
24,328.654,0.25918,0.30436,0.87328,0.98716,0.98148,0.97537,0.93643,0.2491,0.23954,0.83961,0.00030125,0.00030125,0.00030125
25,341.611,0.25078,0.26872,0.86221,0.98554,0.98148,0.98667,0.94872,0.25366,0.23448,0.84819,0.00026,0.00026,0.00026
26,354.567,0.23697,0.25237,0.85289,0.97115,0.98148,0.9837,0.95498,0.21907,0.21279,0.8345,0.00021875,0.00021875,0.00021875
27,368.136,0.22851,0.24344,0.8639,0.98764,0.98148,0.97278,0.94278,0.19946,0.19895,0.82204,0.0001775,0.0001775,0.0001775
28,381.05,0.21598,0.22937,0.84641,0.98851,0.98148,0.97683,0.95134,0.20104,0.19017,0.81826,0.00013625,0.00013625,0.00013625
29,394.297,0.20653,0.20702,0.83045,0.98864,0.98148,0.97438,0.95158,0.1916,0.17812,0.81685,9.5e-05,9.5e-05,9.5e-05
30,407.533,0.20147,0.20438,0.83506,0.98847,0.98148,0.97227,0.94971,0.20365,0.17611,0.82313,5.375e-05,5.375e-05,5.375e-05
